Round,Cmp.No,Company ,SmallCarSold,MediumCarSold,MediumCarOld2,LargeCarSold,LargeCarSold2,LuxuryCarSold,LuxuryCarSold2,MarketShareSmall,MarketShareMedium,MarketShareMedium2,MarketShareLarge,MarketShareLarge2,MarketShareLuxury,MarketShareLuxury2,SmallPrice,MediumPrice,MediumPrice2,LargePrice,LargePrice2,LuxuryPrice,LuxuryPrice2,Workforce,ProductivityIndex,WeeklySalary,SalesPerEmployee,AutomationExpenditure(M),TotalAutomationExpenditure(M),PromotionBudget(M),Profit(M),ROSF,SharePrice,EarningsPerShare,Dividend,PERatio
5,3,REV,71991,55068,,40485,,8080,,1.69%,1.53%,,2.02%,,1.91%,,"£30,974.00","£39,244.00",,"£55,202.00",,"£1,33,135.00",,2179,2.21,£800.00,"£35,34,435.99",£50.00,£257.00,"£2,697.00","-£1,447.17",-1595.36%,£1.00,-£289.43,£0.00,0
5,4,PHEONIX,60709,83378,,54653,,,,1.42%,2.32%,,2.72%,,,,"£28,000.00","£35,000.00",,"£47,000.00",,,,3009,1.22,£715.00,"£23,88,425.72",£0.00,£240.94,£400.00,£190.16,10.82%,£596.67,£38.03,£0.00,15.69
5,5,Oryx,75000,76694,70000,48612,,,,1.76%,2.13%,1.95%,2.42%,,,,"£32,000.00","£37,500.00","£41,000.00","£58,000.00",,,,3984,1.6,£600.00,"£27,52,389.81",£340.00,£710.00,"£1,185.00",£522.94,13.82%,"£1,330.79",£104.59,£0.00,12.72
5,6,Antelope Motors,90000,75000,,51186,,,,2.11%,2.09%,,2.55%,,,,"£32,000.00","£42,000.00",,"£58,000.00",,,,4000,1.26,£710.00,"£22,49,697.00",£265.00,£435.00,"£1,495.00",£679.46,20.53%,"£1,272.16",£135.89,£21.00,9.36
5,7,V6 Motors,79026,62989,81953,69188,,,,1.85%,1.75%,2.28%,3.45%,,,,"£35,934.00","£44,763.00","£45,257.00","£53,873.00",,,,4000,1.73,£709.18,"£32,73,912.78",£62.00,£677.00,"£1,985.00","£1,279.40",35.95%,"£1,422.73",£227.77,£140.00,6.25
5,8,ALDMAN,39763,30775,25000,,,,,0.93%,0.86%,0.70%,,,,,"£23,000.00","£33,000.00","£32,000.00",,,,,1660,0.92,£710.00,"£16,44,653.01",£0.00,£80.00,£75.00,-£49.50,-16.55%,£59.12,-£9.90,£0.00,-5.97
5,9,Velocity,87000,104450,,46219,,,,2.04%,2.90%,,2.30%,,,,"£30,999.00","£37,599.00",,"£55,999.00",,,,2634,1.09,£800.00,"£34,97,473.93",£120.00,£265.20,"£1,275.00",£39.47,-3.59%,£277.53,-£7.75,£0.00,-34.91
6,1,RainbowSix,77180,80000,90000,43609,,5000,,1.75%,2.15%,2.42%,2.06%,,1.06%,,"£32,500.00","£49,000.00","£39,715.00","£70,000.00",,"£1,55,000.00",,2436,3.11,£800.00,"£56,77,475.37",£281.74,£801.43,"£1,337.67","£2,025.13",23.51%,"£3,601.66",£405.03,£30.00,8.89
6,2,MerseyAuto,,93000,,56500,,11552,,,2.50%,,2.67%,,2.45%,,,"£38,999.00",,"£50,999.00",,"£1,34,999.00",,3519,1.43,£720.00,"£22,92,656.71",£22.00,£189.00,"£1,010.28","-£1,225.88",0.00%,£1.00,-£245.18,£0.00,0
6,3,REV,66485,57982,59395,40618,,8320,,1.50%,1.56%,1.60%,1.92%,,1.76%,,"£32,169.00","£40,619.00","£37,063.00","£53,796.00",,"£1,33,571.00",,3310,1.88,£800.00,"£30,18,630.27",£50.00,£307.00,"£1,652.00",£113.05,55.48%,£74.85,£22.61,£0.00,3.31
6,4,PHEONIX,69619,94233,,57255,,,,1.58%,2.54%,,2.70%,,,,"£31,000.00","£38,000.00",,"£52,000.00",,,,2910,1.62,£715.00,"£29,95,293.13",£0.00,£240.94,£680.00,£485.67,21.65%,£903.58,£97.13,£0.00,9.3
6,5,Oryx,56000,60000,68000,41000,,,,1.27%,1.62%,1.83%,1.93%,,,,"£38,000.00","£45,000.00","£45,000.00","£60,000.00",,,,4000,1.33,£640.00,"£25,87,000.00",£40.00,£750.00,£775.00,"£1,524.31",28.71%,"£2,308.04",£304.86,£0.00,7.57
6,6,Antelope Motors,91500,90000,,50000,35000,,,2.07%,2.42%,2.39%,2.36%,1.65%,,,"£34,000.00","£45,000.00",,"£58,000.00","£55,000.00",,,4000,1.57,£738.00,"£29,96,500.00",£631.00,"£1,066.00","£2,120.00",£656.71,16.56%,"£1,551.87",£131.34,£0.00,11.82
6,7,V6 Motors,79514,77753,88603,62792,38937,,,1.80%,2.09%,2.39%,2.96%,1.84%,,,"£40,000.00","£49,000.00","£50,000.00","£59,000.00","£65,000.00",,,8000,1.03,£740.00,"£22,07,030.00",£68.00,£745.00,"£2,545.00","£1,954.19",41.35%,"£2,179.94",£347.91,£140.00,6.27
6,8,ALDMAN,30639,25982,30000,,,,,0.69%,0.70%,0.81%,,,,,"£23,000.00","£33,000.00","£32,000.00",,,,,2250,0.83,£740.00,"£11,20,934.67",£0.00,£80.00,£85.00,-£61.53,-25.91%,£17.49,-£12.31,£0.00,-1.42
6,9,Velocity,62261,106839,79547,48166,,,,1.41%,2.88%,2.14%,2.27%,,,,"£32,999.00","£44,999.00","£40,999.00","£56,999.00",,,,4000,2.11,£810.00,"£32,17,240.05",£200.00,£465.20,"£1,675.00",-£41.82,-3.92%,£247.92,-£8.36,£0.00,-29.64
7,1,RainbowSix,93412,95000,107000,48259,,5500,,1.78%,2.24%,2.52%,1.99%,,0.94%,,"£34,000.00","£51,000.00","£40,000.00","£75,000.00",,"£1,60,000.00",,3254,2.58,£800.00,"£51,63,009.53",£57.30,£858.73,"£1,688.07","£2,509.08",22.66%,"£4,656.17",£501.82,£30.00,9.28
7,2,MerseyAuto,,100100,,66000,,11398,6876,,2.36%,,2.72%,,1.96%,1.18%,,"£41,999.00",,"£50,999.00",,"£1,39,999.00","£1,27,999.00",4000,1.69,£750.00,"£25,11,465.91",£135.00,£324.00,"£1,600.55","-£1,580.17",0.00%,£1.00,-£316.03,£0.00,0
7,3,REV,74279,66000,66000,47000,,10451,,1.42%,1.55%,1.55%,1.94%,,1.79%,,"£32,851.00","£46,154.00","£38,996.00","£64,654.00",,"£1,43,878.00",,3985,1.79,£800.00,"£31,62,467.83",£55.00,£362.00,"£1,765.00",£582.19,65.71%,£513.66,£116.44,£0.00,4.41
